Topic Id,Top Words...
0,12 understandability 10 code metrics 0 14 metric number warning correlation variable wcmr concreteness Ï„ au developers 11 understanding high
1,code naming identifier names source developers time misunderstanding read conditions descriptive comprehension negative style patterns control projects open positive number
2,time group tasks correctness impact methods results comprehension effects influence random experience ordering annotations correct hypothesis 1 developers spent observed
3,line comments lines blank format book code recalled pascal formatting statements readability avoid human recall beacons opinion segment methods procedure
4,code expert style readable novice patterns students readability cases operator survey comprehension topics 20 pattern statements boolean returns solution novices
5,0 code indentation load cognitive inconsistencies source rate affect participants fixation duration structural comprehension lexical developers identifiers snippet 3 test
6,readability code study features model identifier warnings words quality source textual findbugs authors models rq1 readable accuracy rq2 complexity flaws
7,program comprehension regular cues semantic subjects number snippets bottom effort length areas model beacons time brain fixation layout instances total
8,program experiment variable 2 0 1 significant names variables style time 3 comprehension paper score 4 level subjects effect versions
9,code questions identifiers confusing number metrics source difficulty variables question ability category confidence description software data model experience regression magnitude
